Node,U1
0,-6.73564E-06
0.000999928,-6.46104E-06
0.001999855,-6.18707E-06
0.002999783,-5.91371E-06
0.004000187,-5.64081E-06
0.005000114,-5.36859E-06
0.006000042,-5.09691E-06
0.006999969,-4.82572E-06
0.007999897,-4.55502E-06
0.008999825,-4.28476E-06
0.010000229,-4.0148E-06
0.011000156,-3.74537E-06
0.012000084,-3.47631E-06
0.013000011,-3.2076E-06
0.013999939,-2.9392E-06
0.014999866,-2.67109E-06
0.015999794,-2.40326E-06
0.017000198,-2.13552E-06
0.018000126,-1.86814E-06
0.019000053,-1.60093E-06
0.019999981,-1.33389E-06
0.020999908,-1.06698E-06
0.021999836,-8.00171E-07
0.022999763,-5.33447E-07
0.024000168,-2.66646E-07
0.025000095,1.33314E-12
0.026000023,2.66646E-07
0.02699995,5.33319E-07
0.027999878,8.00045E-07
0.028999805,1.06685E-06
0.03000021,1.33389E-06
0.031000137,1.60093E-06
0.032000065,1.86814E-06
0.032999992,2.13552E-06
0.03399992,2.40313E-06
0.034999847,2.67097E-06
0.035999775,2.93907E-06
0.037000179,3.2076E-06
0.038000107,3.47631E-06
0.039000034,3.74537E-06
0.039999962,4.0148E-06
0.040999889,4.28463E-06
0.041999817,4.55489E-06
0.043000221,4.82572E-06
0.044000149,5.09691E-06
0.045000076,5.36859E-06
0.046000004,5.64081E-06
0.046999931,5.91358E-06
0.047999859,6.18694E-06
0.048999786,6.46091E-06
0.050000191,6.73564E-06
